latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.379,26.667,326.9,1.1,1.1,2019-07-17,00:10,A,100,6.0NRT,282.4,36,N
46.768,31.085,336.1,1,1,2019-07-17,00:10,A,100,6.0NRT,287,42.4,N
48.381,26.652,322.3,1.1,1.1,2019-07-17,00:10,A,100,6.0NRT,280.6,30.1,N
48.384,26.659,345.6,1.1,1.1,2019-07-17,00:10,A,100,6.0NRT,284.8,68.8,N
48.383,26.674,312.4,1.1,1.1,2019-07-17,00:10,A,85,6.0NRT,282.6,17.9,N
30.537,26.083,309.6,1.1,1,2019-07-17,00:15,A,78,6.0NRT,294.5,8.6,N
30.535,26.094,306.4,1.1,1,2019-07-17,00:15,A,68,6.0NRT,293.6,6.3,N
64.387,162.035,331.3,1.2,1.1,2019-07-17,01:15,T,76,6.0NRT,296.7,37.2,D
65.479,173.725,301.2,2.2,1.4,2019-07-17,01:15,T,20,6.0NRT,284.7,12.3,D
64.392,162.012,321.1,1.2,1.1,2019-07-17,01:15,T,61,6.0NRT,295.8,21.7,D
61.68,136.502,312.9,2.8,1.6,2019-07-17,01:20,T,73,6.0NRT,290.4,44.1,D
61.681,136.448,305.8,2.9,1.6,2019-07-17,01:20,T,62,6.0NRT,291.4,21.2,D
52.51,143.187,319,1.2,1.1,2019-07-17,01:20,T,61,6.0NRT,296.2,12.4,D
59.884,135.327,304,3.1,1.7,2019-07-17,01:20,T,54,6.0NRT,290.9,24.2,D
61.679,136.497,316.5,2.8,1.6,2019-07-17,01:20,T,77,6.0NRT,290.5,59,D
61.68,136.441,302.8,2.9,1.6,2019-07-17,01:20,T,50,6.0NRT,291.3,14,D
34.855,136.819,312,1.4,1.2,2019-07-17,01:25,T,36,6.0NRT,295.9,12.8,D
34.491,133.38,309.5,2.3,1.5,2019-07-17,01:25,T,22,6.0NRT,286.6,10.3,D
40.532,141.498,317.7,1,1,2019-07-17,01:25,T,36,6.0NRT,294.3,5.9,D
35.982,136.496,318.8,1.5,1.2,2019-07-17,01:25,T,34,6.0NRT,300.5,15.7,D
56.633,161.302,324.5,1.4,1.2,2019-07-17,01:30,A,47,6.0NRT,292,32.2,D
64.378,162.025,315.1,1,1,2019-07-17,01:30,A,58,6.0NRT,295.6,9.8,D
65.486,173.717,312.4,1.6,1.3,2019-07-17,01:30,A,49,6.0NRT,291.1,17.1,D
64.296,174.899,326.7,1.7,1.3,2019-07-17,01:30,A,85,6.0NRT,292.6,48.5,D
64.299,174.934,314.1,1.7,1.3,2019-07-17,01:30,A,26,6.0NRT,288.6,21.4,D
64.288,174.909,316.2,1.7,1.3,2019-07-17,01:30,A,32,6.0NRT,290.4,26.2,D
54.035,159.468,308.3,2,1.4,2019-07-17,01:30,A,35,6.0NRT,294,13.5,D
61.688,120.803,335.2,1.3,1.1,2019-07-17,02:55,T,60,6.0NRT,293.4,45.7,D
60.315,130.794,316.5,1.1,1,2019-07-17,02:55,T,65,6.0NRT,296.7,13.4,D
60.282,130.646,323.3,1.1,1,2019-07-17,02:55,T,81,6.0NRT,298.1,19.2,D
60.278,130.665,308.9,1.1,1,2019-07-17,02:55,T,62,6.0NRT,295.7,5.4,D
60.273,130.64,357.3,1.1,1,2019-07-17,02:55,T,99,6.0NRT,301.6,82,D
60.27,130.658,343.1,1.1,1,2019-07-17,02:55,T,93,6.0NRT,297.7,48.7,D
61.534,113.17,313,2.5,1.5,2019-07-17,02:55,T,70,6.0NRT,296.2,32.6,D
61.347,112.798,325.6,2.6,1.5,2019-07-17,02:55,T,82,6.0NRT,297.4,82.5,D
61.099,117.511,306.8,1.7,1.3,2019-07-17,02:55,T,56,6.0NRT,293.4,9.8,D
61.091,117.503,309.7,1.7,1.3,2019-07-17,02:55,T,64,6.0NRT,293.9,15.3,D
58.701,131.713,305.8,1.2,1.1,2019-07-17,02:55,T,62,6.0NRT,293,7.3,D
59.374,124.717,321.4,1,1,2019-07-17,02:55,T,74,6.0NRT,301.9,13.8,D
59.371,124.735,317.3,1,1,2019-07-17,02:55,T,28,6.0NRT,302.6,9.8,D
59.367,124.707,313.9,1,1,2019-07-17,02:55,T,72,6.0NRT,298.3,9.1,D
59.365,124.725,316.1,1,1,2019-07-17,02:55,T,74,6.0NRT,299.1,11.1,D
60.151,109.131,305.4,3.5,1.8,2019-07-17,02:55,T,47,6.0NRT,295.1,22.5,D
60.074,107.757,316.6,4,1.9,2019-07-17,02:55,T,50,6.0NRT,294.5,76.2,D
60.07,107.749,314,4,1.9,2019-07-17,02:55,T,67,6.0NRT,294.1,66,D
60.07,107.821,317,4,1.9,2019-07-17,02:55,T,74,6.0NRT,296.3,83.2,D
60.053,107.748,339.4,4,1.9,2019-07-17,02:55,T,91,6.0NRT,293.6,281.8,D
60.053,107.821,383.1,4,1.9,2019-07-17,02:55,T,100,6.0NRT,298.4,1192.9,D
60.049,107.743,320.4,4,1.9,2019-07-17,02:55,T,70,6.0NRT,292.9,101.5,D
60.049,107.816,370.3,4,1.9,2019-07-17,02:55,T,100,6.0NRT,297.4,831.9,D
59.695,113.613,308.3,2.3,1.5,2019-07-17,02:55,T,58,6.0NRT,295.1,16.2,D
59.837,108.229,308.8,3.8,1.8,2019-07-17,02:55,T,59,6.0NRT,296.1,35.2,D
59.699,113.607,308.4,2.3,1.5,2019-07-17,02:55,T,58,6.0NRT,295.3,17.9,D
58.035,126.715,329.4,1,1,2019-07-17,02:55,T,84,6.0NRT,300.1,23.8,D
58.033,126.732,321.1,1,1,2019-07-17,02:55,T,49,6.0NRT,299.2,14.2,D
58.8,112.772,312.5,2.5,1.5,2019-07-17,02:55,T,64,6.0NRT,298.3,21.7,D
58.876,105.844,311.8,4.7,2,2019-07-17,02:55,T,64,6.0NRT,294.4,64.6,D
58.855,109.783,312.6,3.3,1.7,2019-07-17,02:55,T,65,6.0NRT,297.4,35.5,D
58.879,105.835,310.1,4.7,2,2019-07-17,02:55,T,59,6.0NRT,294.4,54.6,D
58.745,106.794,307.3,4.3,1.9,2019-07-17,02:55,T,36,6.0NRT,294.9,31.5,D
62.909,127.966,323.3,1,1,2019-07-17,02:55,T,56,6.0NRT,285.3,17.4,D
62.911,127.947,324.9,1,1,2019-07-17,02:55,T,70,6.0NRT,283,18.1,D
62.914,127.928,327.1,1,1,2019-07-17,02:55,T,66,6.0NRT,283,20,D
