latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
67.27637,83.21365,348.4,0.54,0.68,2019-06-30,00:00,N,nominal,1.0NRT,284.7,7,D
68.41171,83.62499,354.5,0.47,0.64,2019-06-30,00:00,N,nominal,1.0NRT,286.8,20.6,D
68.4077,83.63066,350.7,0.47,0.64,2019-06-30,00:00,N,nominal,1.0NRT,287,19,D
67.95744,55.47518,329,0.53,0.42,2019-06-30,00:00,N,nominal,1.0NRT,283.4,6.2,D
66.1729,71.01412,333.7,0.42,0.61,2019-06-30,00:00,N,nominal,1.0NRT,283.7,3,D
66.19739,70.98224,340.9,0.41,0.61,2019-06-30,00:00,N,nominal,1.0NRT,284,15.9,D
66.201,70.99319,367,0.41,0.61,2019-06-30,00:00,N,high,1.0NRT,297.4,15.9,D
67.8023,72.52085,274.9,0.36,0.57,2019-06-30,00:00,N,low,1.0NRT,305.1,51.7,D
67.79968,72.52628,329.5,0.36,0.57,2019-06-30,00:00,N,nominal,1.0NRT,280.9,51.7,D
67.80486,72.51553,367,0.36,0.57,2019-06-30,00:00,N,high,1.0NRT,311.7,109.7,D
67.80559,72.53209,367,0.36,0.57,2019-06-30,00:00,N,low,1.0NRT,289.4,9.3,D
67.80822,72.52662,348.9,0.36,0.57,2019-06-30,00:00,N,nominal,1.0NRT,287.1,17.3,D
67.80888,72.54332,357.1,0.36,0.57,2019-06-30,00:00,N,nominal,1.0NRT,283.6,9.3,D
64.9328,78.33913,343.9,0.64,0.72,2019-06-30,00:00,N,nominal,1.0NRT,284.1,7.6,D
65.90215,77.24636,367,0.54,0.68,2019-06-30,00:00,N,low,1.0NRT,284.1,10.8,D
65.90649,77.23932,338.3,0.54,0.68,2019-06-30,00:00,N,nominal,1.0NRT,283.5,12.3,D
70.51094,68.13383,337.7,0.44,0.46,2019-06-30,00:00,N,nominal,1.0NRT,280.3,4,D
66.4729,77.17244,355.6,0.5,0.66,2019-06-30,00:00,N,nominal,1.0NRT,284.1,7,D
66.47248,77.17268,344.3,0.5,0.66,2019-06-30,00:00,N,nominal,1.0NRT,283.6,6.5,D
66.28253,78.74064,367,0.54,0.68,2019-06-30,00:00,N,low,1.0NRT,284,21.2,D
66.27827,78.74738,346.1,0.54,0.68,2019-06-30,00:00,N,nominal,1.0NRT,284.7,21.2,D
